_id,供暖,均价(元/平方米),小区名称,年份,户型(/室),朝向,楼层,用途,面积(/平方米)
632858a4b825978768d61c9b,集体供暖,10759,李家村万达广场,2008,1,南,低,普通住宅,51.12
632858a4b825978768d61c9c,集体供暖,12787,世贸大厦,2006,2,南,中,普通住宅,93.85
632858a4b825978768d61c9d,集体供暖,14667,西雅图翡翠城,2006,2,东北,中,普通住宅,75
632858a4b825978768d61c9e,集体供暖,12753,世贸大厦,2006,3,南北,中,普通住宅,105.86
632858a4b825978768d61c9f,集体供暖,17753,曼城国际,2012,2,东南,低,普通住宅,95.76
632858a4b825978768d61ca0,集体供暖,18899,新旅城,2005,2,北,中,普通住宅,60.85
632858a4b825978768d61ca1,集体供暖,23677,华豪丽晶,2012,3,南北,低,普通住宅,120.37
632858a4b825978768d61ca2,集体供暖,9114,西安热工研究院家属院,1990,2,南,高,普通住宅,57.06
632858a4b825978768d61ca3,集体供暖,27653,东泰城市之光北区,2011,3,东南,高,普通住宅,108.49
632858a4b825978768d61ca4,集体供暖,27417,东泰城市之光北区,2011,2,南,高,普通住宅,63.83
632858a5b825978768d61ca5,集体供暖,19064,阳光里,2009,1,东,中,普通住宅,47.21
632858a5b825978768d61ca6,集体供暖,16697,兰蒂斯城1期,2014,1,北,中,普通住宅,39.53
632858a5b825978768d61ca7,集体供暖,20974,高山流水星币传说,2014,2,西南,中,普通住宅,83.44
632858a5b825978768d61ca8,集体供暖,10375,海星未来城,2009,1,北,高,普通住宅,42.41
632858a5b825978768d61ca9,集体供暖,21879,兰蒂斯城3期,2014,3,南,高,普通住宅,146.26
632858a5b825978768d61caa,集体供暖,16982,东方广场,2007,4,西南,低,普通住宅,153.11
632858a5b825978768d61cab,集体供暖,13467,盛龙广场太白苑,2014,3,西南,高,普通住宅,111.39
632858a5b825978768d61cac,集体供暖,11477,绿地乐和城,2014,1,南,中,普通住宅,47.75
632858a5b825978768d61cae,集体供暖,14848,友谊西路188号,2009,3,东南,高,普通住宅,134.7
632858a5b825978768d61caf,集体供暖,12632,民生新世界,2005,2,南北,低,普通住宅,95
632858a5b825978768d61cb0,集体供暖,14958,盛城东星,2014,3,南西,高,普通住宅,117
632858a5b825978768d61cb1,集体供暖,11428,东方广场,2007,2,南,高,普通住宅,98.01
632858a5b825978768d61cb2,集体供暖,16674,九锦台,2017,1,西,中,普通住宅,46.78
632858a5b825978768d61cb3,集体供暖,17978,新旅城,2013,2,东,高,普通住宅,89
632858a5b825978768d61cb4,集体供暖,19566,学府首座,2015,3,东南,低,普通住宅,107.33
632858a5b825978768d61cb5,集体供暖,15477,盛龙广场太白苑,2014,2,西,高,普通住宅,84
632858a5b825978768d61cb6,集体供暖,17116,荣城,2009,2,南,低,普通住宅,87.64
632858a5b825978768d61cb7,集体供暖,16956,新旅城,2013,2,东,中,普通住宅,79.62
632858a5b825978768d61cb8,集体供暖,15278,翡翠明珠,2013,2,南,中,普通住宅,72
632858a5b825978768d61cb9,集体供暖,20891,兰蒂斯城3期,2014,3,东南,低,普通住宅,146
632858a5b825978768d61cba,集体供暖,18381,学府首座,2015,2,东,低,普通住宅,77.8
632858a5b825978768d61cbb,集体供暖,12770,瑞鑫摩天城,2011,1,西,中,普通住宅,43.07
632858a5b825978768d61cbc,集体供暖,16163,翡翠明珠,2013,1,东北,低,普通住宅,53.21
632858a5b825978768d61cbd,集体供暖,14454,兰蒂斯城3期,2014,1,北,高,普通住宅,51.2
632858a5b825978768d61cbe,集体供暖,14647,兰蒂斯城1期,2014,2,东南,高,普通住宅,81.93
632858a5b825978768d61cbf,集体供暖,11506,新兴名园,2003,2,东,中,普通住宅,101.69
632858a5b825978768d61cc0,集体供暖,23863,中贸广场,2017,3,西北,低,普通住宅,108.54
632858a5b825978768d61cc1,集体供暖,17794,学府首座,2015,2,南,低,普通住宅,81.49
632858a6b825978768d61cc3,集体供暖,14358,招商局广场,2004,3,东南,低,普通住宅,119.8
632858a6b825978768d61cc4,集体供暖,11819,大话南门,2014,1,西,低,普通住宅,55
632858a6b825978768d61cc5,集体供暖,14785,兰蒂斯城1期,2014,1,北,中,普通住宅,48.36
632858a6b825978768d61cc6,集体供暖,17753,曼城国际,2012,2,东南,低,普通住宅,95.76
632858a6b825978768d61cc7,集体供暖,22501,兴庆宫,2016,3,东南南,低,普通住宅,155.55
632858a6b825978768d61cc8,集体供暖,15409,大学南路小学分校小区,2000,2,南北,中,普通住宅,76.58
632858a6b825978768d61cc9,集体供暖,14729,幸福逸家,2013,3,南,低,普通住宅,112.03
632858a6b825978768d61cca,集体供暖,18899,新旅城,2005,2,北,中,普通住宅,60.85
632858a6b825978768d61ccb,集体供暖,23677,华豪丽晶,2012,3,南北,低,普通住宅,120.37
632858a6b825978768d61ccc,集体供暖,9114,西安热工研究院家属院,1990,2,南,高,普通住宅,57.06
632858a6b825978768d61ccd,集体供暖,25959,东泰城市之光北区,2011,2,南,低,普通住宅,84.75
632858a6b825978768d61cce,集体供暖,27653,东泰城市之光北区,2011,3,东南,高,普通住宅,108.49
632858a6b825978768d61ccf,集体供暖,21038,瑞鑫摩天城,2011,3,南北,中,普通住宅,141.65
632858a6b825978768d61cd0,集体供暖,14286,中贸广场,2010,2,西北,高,普通住宅,87.5
632858a6b825978768d61cd2,集体供暖,27417,东泰城市之光北区,2011,2,南,高,普通住宅,63.83
632858a6b825978768d61cd3,集体供暖,19064,阳光里,2009,1,东,中,普通住宅,47.21
632858a6b825978768d61cd4,集体供暖,10288,海星未来城,2009,1,南,高,普通住宅,42.77
632858a6b825978768d61cd5,集体供暖,16697,兰蒂斯城1期,2014,1,北,中,普通住宅,39.53
632858a6b825978768d61cd6,集体供暖,10801,世贸大厦,2006,1,北,高,普通住宅,62.96
632858a6b825978768d61cd7,集体供暖,17097,曼城国际,2011,2,南,高,普通住宅,102.36
632858a6b825978768d61cd8,集体供暖,20974,高山流水星币传说,2014,2,西南,中,普通住宅,83.44
632858a6b825978768d61cd9,集体供暖,10375,海星未来城,2009,1,北,高,普通住宅,42.41
632858a6b825978768d61cda,集体供暖,8870,烟草局家属院,2005,3,西南,低,普通住宅,121.76
632858a6b825978768d61cdb,集体供暖,10054,海星未来城,2009,1,南,低,普通住宅,42.77
632858a6b825978768d61cdc,集体供暖,21879,兰蒂斯城3期,2014,3,南,高,普通住宅,146.26
632858a6b825978768d61cdd,集体供暖,16982,东方广场,2007,4,西南,低,普通住宅,153.11
632858a6b825978768d61cde,集体供暖,13467,盛龙广场太白苑,2014,3,西南,高,普通住宅,111.39
632858a6b825978768d61cdf,集体供暖,11477,绿地乐和城,2014,1,南,中,普通住宅,47.75
632858a6b825978768d61ce0,集体供暖,12263,东方广场,2007,2,南北,高,普通住宅,99.49
632858a6b825978768d61ce1,集体供暖,16000,馨雅园,2014,1,西,中,普通住宅,55
632858a6b825978768d61ce2,集体供暖,19762,兰蒂斯城3期,2014,3,西南,中,普通住宅,145.74
632858a7b825978768d61ce4,集体供暖,15623,兰蒂斯城2期,2015,3,东南,高,普通住宅,131.22
632858a7b825978768d61ce5,集体供暖,19506,兰蒂斯城2期,2012,1,西,低,普通住宅,42.04
632858a7b825978768d61ce6,集体供暖,21011,高山流水星币传说,2014,2,西南,低,普通住宅,85.67
632858a7b825978768d61ce7,集体供暖,22734,九锦台,2014,4,南北,中,普通住宅,255.13
632858a7b825978768d61ce8,集体供暖,12097,绿地乐和城,2013,1,东,高,普通住宅,57.87
632858a7b825978768d61ce9,集体供暖,15670,长安大街3号,2012,2,东南,中,普通住宅,83.92
632858a7b825978768d61cea,集体供暖,26560,中贸广场,2017,2,南,中,普通住宅,90.74
632858a7b825978768d61ceb,集体供暖,12173,东方广场,2007,2,东南,中,普通住宅,98.58
632858a7b825978768d61cec,集体供暖,10155,国税局家属院,2001,2,南北,低,普通住宅,103.4
632858a7b825978768d61ced,集体供暖,11691,长安壹栋,2015,1,南,低,普通住宅,59.88
632858a7b825978768d61cee,集体供暖,14578,中国人寿,2008,3,南北,低,普通住宅,157.78
632858a7b825978768d61cef,集体供暖,14080,优座华城,2012,3,东南,高,普通住宅,136.37
632858a7b825978768d61cf0,集体供暖,15546,翡翠明珠,2013,3,西北,中,普通住宅,128.33
632858a7b825978768d61cf1,集体供暖,13153,景致雅居,2006,3,南北,低,普通住宅,159.67
632858a7b825978768d61cf2,集体供暖,18517,华豪丽晶,2015,2,西南,低,普通住宅,89.11
632858a7b825978768d61cf3,集体供暖,15960,兰蒂斯城3期,2014,1,北,高,普通住宅,51.38
632858a8b825978768d61cf5,集体供暖,16820,兰蒂斯城3期,2014,1,北,高,普通住宅,51.13
632858a8b825978768d61cf6,集体供暖,15441,白庙公寓,2011,2,东南,高,普通住宅,76.42
632858a8b825978768d61cf7,集体供暖,11451,海星未来城,2009,1,北,高,普通住宅,41.92
632858a8b825978768d61cf8,集体供暖,13025,西雅图翡翠城,2006,2,东,中,普通住宅,79.08
632858a8b825978768d61cf9,集体供暖,17340,南门望城,2014,2,东南,中,普通住宅,73.82
632858a8b825978768d61cfa,集体供暖,14391,金仕雅筑,2007,2,西,中,普通住宅,89.64
632858a8b825978768d61cfb,集体供暖,18015,凯旋城,2010,3,东南,高,普通住宅,111.02
632858a8b825978768d61cfc,集体供暖,16841,南门望城,2014,2,西北,中,普通住宅,68.88
632858a8b825978768d61cfd,集体供暖,13999,长安壹栋,2015,1,南,中,普通住宅,44.29
632858a8b825978768d61cfe,集体供暖,14703,东屿枫舍,2009,2,南北,低,普通住宅,88.42
632858a8b825978768d61cff,集体供暖,13717,瑞鑫摩天城,2011,1,南,中,普通住宅,69.26
632858a8b825978768d61d00,集体供暖,12942,绿地乐和城,2014,2,西南,低,普通住宅,79.59
632858a8b825978768d61d01,集体供暖,11754,紫雁朗庭,2006,1,东,中,普通住宅,43.39
632858a8b825978768d61d02,集体供暖,16308,兰蒂斯城2期,2013,2,南,中,普通住宅,79.72
632858a8b825978768d61d03,集体供暖,15736,兰蒂斯城2期,2015,2,南,中,普通住宅,104.86
